Device_Category,Title,Price,Condition,Item_URL
iPod Classic,"Apple iPod Classic 5th, 6th, or 7th Generation (30GB, 60GB, 80GB, 120GB, 160GB)",199.95,Very Good - Refurbished,https://www.ebay.com/itm/174820258539?_skw=iPod+Classic+160GB&hash=item28b41972eb:g:2HIAAOSwvctg2ywE&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbQLZtyLSvjwQ0KVKt4bUPIpTQY%2FljrajevPMSq5aqJmJYuFBWcqIYm99S%2FTlEmDidgBP1DdYDsUd1USJA5Ta%2B8ouB%2BfnlQCKur1nIgPTzVn1lT4MUlaKM4ilnxx1expVdlD7zcO6cK7ThGh7msmHdVAScHUESx0GdFEhCxtyGh8OXGUZaVAP9LcOas0BW3yZzgi7p05P0%2BWpvQ2LKrwfNxPx1K7PFJaOhhjENR8tYEH%2FdKritxRFuldToUu6Rr%2F3s8OJJJSx7knoOEI%2FRX72yMwuBn8VM4JczG0Vws5Kp%2BKg%3D%3D
iPod Classic,Apple iPod Classic 7th Gen 160GB Refurbished Mint  SSD Upgrade 1 Year CPS,319.99,Open box,https://www.ebay.com/itm/116990984276?_skw=iPod+Classic+160GB&hash=item1b3d34c054:g:4u0AAeSwm8hpbqd6&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGYjgk6PTH6x%2FvPUknjH9keh7sj5c4wcTXPZbNVbMJWddkhYEcSHiIDsUTdRrQEN7AzG9JwXlmu6rCDVcdFRTWzYUhvjCHwLPG9IIJPZq3EtgaHJAr7oXIUqCACAR74YOHKXAVan0piC%2F6JkgZnogmIot1Vrfao3JXCcs%2BwDGl042Dh0EUjVQCaZzpsrbNxnbPQ7dpR9vSR3oJxLvtNUN0O%2F20BXH8P2r2Ytm8a3jqwfyBWCd8HXgDZ%2Fjr%2FXhC4jk9UprCzHKiodKSWbqBzUG0QY8TTBDRdFThHg620pOm%2Bkcw%3D%3D
iPod Classic,Apple A1238 iPod Classic 160GB Black Media Player  - Working - Please Read,99.49,Used,https://www.ebay.com/itm/157624312371?_skw=iPod+Classic+160GB&hash=item24b3242233:g:iHAAAeSw7vxpbtp1
iPod Classic,"Apple iPod Classic 5th, 6th, 7th Generation Tested All GB 30GB 80GB 120GB 160GB",179.99,Used,https://www.ebay.com/itm/112487980487?_skw=iPod+Classic+160GB&hash=item1a30ce5dc7:g:MZYAAeSwA1RpoLf6
iPod Classic,New Sealed iPod Classic 5th 6th 7th 30GB 60GB 80GB 128GB 256GB 512GB 1TB Modded,278.0,New,https://www.ebay.com/itm/406296857471?_skw=iPod+Classic+160GB&hash=item5e992e0b7f:g:tjkAAeSwhdFpiZS-
iPod Classic,Replacement LCD Screen Apple iPod Classic 6th & 7th Gen 80GB 160GB 120GB Display,34.99,New,https://www.ebay.com/itm/113791728838?_skw=iPod+Classic+160GB&hash=item1a7e83fcc6:g:RfkAAeSwY~FpjQEL
iPod Classic,Apple iPod Classic Replacement Mod Parts Clickwheel Battery Faceplate Back LCD,14.99,New,https://www.ebay.com/itm/114059562212?_skw=iPod+Classic+160GB&hash=item1a8e7acce4:g:5dcAAeSwTYVpbEtJ
iPod Classic,Apple iPod Classic 160GB (Late 2009),149.99,Used,https://www.ebay.com/itm/358270296001?_skw=iPod+Classic+160GB&hash=item536a92dfc1:g:0NMAAeSw0tFpo0Q7
iPod Classic,Clear Plastic Case for Apple iPod Classic 80GB/120GB/160GB 6th / 7th Gen,9.69,New,https://www.ebay.com/itm/135387852467?_skw=iPod+Classic+160GB&hash=item1f85beaeb3:g:G3kAAeSwOYdpYYum
iPod Classic,New Sealed Apple iPod Classic 5th 6th 7th Gen 160GB 256GB 1TB Modded NEW Battery,163.0,New,https://www.ebay.com/itm/177860097724?_skw=iPod+Classic+160GB&hash=item296949b6bc:g:6N0AAeSwKpxpRiW5
